,year,month,Day,Avg_Temperature,Avg_Dew_Point,Avg_Humidity,Avg_Wind_Speed,Avg_Pressure
0,2018.0,1.0,1,2.679051794281333,24.5,28.2,4.0,27.9
1,2018.0,1.0,2,2.6579784222054226,30.0,33.5,8.8,27.9
2,2018.0,1.0,3,2.629706998673886,29.3,38.4,5.3,28.0
3,2018.0,1.0,4,2.633289909805001,26.8,34.7,3.5,28.0
4,2018.0,1.0,5,2.6740698569118813,30.6,31.1,4.4,27.9
5,2018.0,1.0,6,2.667730429689412,31.1,34.3,4.5,27.9
6,2018.0,1.0,7,2.652653251792001,32.8,38.5,8.0,28.0
7,2018.0,1.0,8,2.6246237680418556,32.8,46.1,11.2,28.1
8,2018.0,1.0,9,2.615721357900123,21.4,29.9,9.2,28.1
9,2018.0,1.0,10,2.5955640747544018,16.7,27.2,3.2,28.1
10,2018.0,1.0,11,2.6073430679877623,13.0,22.2,1.9,28.1
11,2018.0,1.0,12,2.6275381680231154,15.3,23.5,2.0,28.1
12,2018.0,1.0,13,2.628262716842354,12.0,20.2,1.3,28.0
13,2018.0,1.0,14,2.6403392685094373,9.4,17.0,3.8,28.0
14,2018.0,1.0,15,2.6499571862441496,14.8,19.1,5.5,28.0
15,2018.0,1.0,16,2.642424504825128,27.6,32.6,6.9,28.1
16,2018.0,1.0,17,2.6275381680231154,27.7,36.2,2.8,28.0
17,2018.0,1.0,18,2.667730429689412,26.5,29.0,4.4,27.9
18,2018.0,1.0,19,2.6796690619981827,24.5,24.3,8.8,27.9
19,2018.0,1.0,20,2.648600634201954,24.1,27.4,9.8,28.0
20,2018.0,1.0,21,2.609649291405666,25.8,36.3,7.4,28.1
21,2018.0,1.0,22,2.6126993430222365,23.0,34.4,2.8,28.0
22,2018.0,1.0,23,2.67719273515169,25.3,25.5,3.8,27.9
23,2018.0,1.0,24,2.688186478933527,26.7,25.1,2.9,27.9
24,2018.0,1.0,25,2.697063511664319,20.1,18.3,6.5,27.9
25,2018.0,1.0,26,2.7022714591280375,28.7,25.3,3.4,27.9
26,2018.0,1.0,27,2.6827374519810965,26.7,25.6,8.4,27.9
27,2018.0,1.0,28,2.6325764786239336,28.1,36.1,10.3,28.0
28,2018.0,2.0,1,2.6172219970237625,18.3,25.8,2.3,28.1
29,2018.0,2.0,2,2.626812005286512,19.4,26.1,5.3,28.1
30,2018.0,2.0,3,2.615721357900123,17.9,27.0,7.2,28.1
31,2018.0,2.0,4,2.625354811887459,13.5,21.3,4.9,28.1
32,2018.0,2.0,5,2.651308044370664,11.6,17.1,1.3,28.1
33,2018.0,2.0,6,2.673441574839969,10.4,14.2,1.2,28.1
34,2018.0,2.0,7,2.6964794618286514,13.3,14.2,1.9,28.0
35,2018.0,2.0,8,2.688186478933527,10.1,13.3,2.6,27.9
36,2018.0,2.0,9,2.6796690619981827,15.2,16.3,2.6,27.9
37,2018.0,2.0,10,2.695894320807052,16.0,15.8,1.5,27.9
38,2018.0,2.0,11,2.733369358645725,21.3,15.5,2.5,27.9
39,2018.0,2.0,12,2.752965759518957,21.7,14.4,6.7,27.9
40,2018.0,2.0,13,2.769994045810735,19.8,11.4,7.0,27.8
41,2018.0,2.0,14,2.7135423120347935,34.2,29.6,10.8,28.0
42,2018.0,2.0,15,2.7051276667509883,36.4,33.2,4.9,28.1
43,2018.0,2.0,16,2.7270777656878495,43.9,40.8,8.8,28.0
44,2018.0,2.0,17,2.7465728260731335,35.3,24.0,9.3,27.9
45,2018.0,2.0,18,2.7307635187618136,34.5,26.4,9.9,27.8
46,2018.0,2.0,19,2.6821261531020335,22.7,22.5,5.3,27.9
47,2018.0,2.0,20,2.6759472726238784,27.8,27.9,3.2,27.9
48,2018.0,2.0,21,2.7107626737949446,30.2,24.7,7.2,27.8
50,2018.0,2.0,23,2.7184836812258353,37.5,31.5,2.4,27.8
51,2018.0,2.0,24,2.6947207503710304,51.0,62.8,10.1,27.8
52,2018.0,2.0,25,2.694132313493363,51.7,64.1,5.4,27.8
