,Day,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Dew_Point,Avg_Dew_Point,Min_Dew_Point,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind_Speed,Avg_Wind_Speed,min_Wind_Speed,Max_Pressure,Avg_Pressure,Min_Pressure,Precipitation,month,year
0,1,79,62.9,46,34,24.5,16,57,28.2,9,10,4.0,0,27.9,27.9,27.8,0.00,1.0,2018.0
1,2,68,59.6,54,37,30.0,21,51,33.5,23,17,8.8,0,28.1,27.9,27.8,0.00,1.0,2018.0
2,3,68,55.5,46,34,29.3,25,57,38.4,23,9,5.3,0,28.1,28.0,28.0,0.00,1.0,2018.0
3,4,70,56.0,41,28,26.8,25,61,34.7,20,8,3.5,0,28.1,28.0,27.9,0.00,1.0,2018.0
4,5,73,62.1,52,34,30.6,27,41,31.1,22,12,4.4,0,27.9,27.9,27.8,0.00,1.0,2018.0
5,6,73,61.1,48,34,31.1,25,54,34.3,20,10,4.5,0,27.9,27.9,27.8,0.00,1.0,2018.0
6,7,68,58.8,48,36,32.8,30,54,38.5,24,14,8.0,2,28.1,28.0,27.9,0.00,1.0,2018.0
7,8,64,54.8,46,39,32.8,25,71,46.1,28,16,11.2,7,28.2,28.1,28.1,0.00,1.0,2018.0
8,9,64,53.6,43,25,21.4,18,43,29.9,18,16,9.2,6,28.2,28.1,28.1,0.00,1.0,2018.0
9,10,64,51.0,39,19,16.7,12,42,27.2,14,8,3.2,0,28.2,28.1,28.1,0.00,1.0,2018.0
10,11,66,52.5,39,18,13.0,10,36,22.2,12,6,1.9,0,28.2,28.1,28.1,0.00,1.0,2018.0
11,12,73,55.2,39,19,15.3,9,45,23.5,9,7,2.0,0,28.2,28.1,28.1,0.00,1.0,2018.0
12,13,73,55.3,39,18,12.0,7,33,20.2,9,5,1.3,0,28.1,28.0,28.0,0.00,1.0,2018.0
13,14,75,57.0,39,12,9.4,3,33,17.0,7,13,3.8,0,28.0,28.0,27.9,0.00,1.0,2018.0
14,15,75,58.4,41,28,14.8,3,33,19.1,12,13,5.5,0,28.1,28.0,27.9,0.00,1.0,2018.0
15,16,68,57.3,46,32,27.6,23,43,32.6,24,12,6.9,3,28.2,28.1,28.1,0.00,1.0,2018.0
16,17,68,55.2,43,28,27.7,27,57,36.2,23,6,2.8,0,28.1,28.0,27.9,0.00,1.0,2018.0
17,18,75,61.1,48,28,26.5,21,46,29.0,14,10,4.4,2,27.9,27.9,27.9,0.00,1.0,2018.0
18,19,75,63.0,52,28,24.5,19,38,24.3,13,15,8.8,5,27.9,27.9,27.8,0.00,1.0,2018.0
19,20,64,58.2,52,27,24.1,21,35,27.4,20,13,9.8,5,28.1,28.0,27.9,0.00,1.0,2018.0
20,21,64,52.8,43,28,25.8,23,53,36.3,21,12,7.4,0,28.2,28.1,28.1,0.00,1.0,2018.0
21,22,68,53.2,37,28,23.0,16,60,34.4,15,6,2.8,0,28.1,28.0,27.9,0.00,1.0,2018.0
22,23,79,62.6,46,32,25.3,21,40,25.5,16,7,3.8,0,27.9,27.9,27.8,0.00,1.0,2018.0
23,24,77,64.4,52,30,26.7,23,34,25.1,16,6,2.9,0,27.9,27.9,27.8,0.00,1.0,2018.0
24,25,79,65.9,52,30,20.1,10,34,18.3,11,14,6.5,2,27.9,27.9,27.8,0.00,1.0,2018.0
25,26,81,66.8,55,34,28.7,25,38,25.3,14,8,3.4,0,27.9,27.9,27.8,0.00,1.0,2018.0
26,27,75,63.5,55,32,26.7,23,41,25.6,15,16,8.4,0,28.0,27.9,27.8,0.00,1.0,2018.0
27,28,64,55.9,48,45,28.1,21,54,36.1,20,17,10.3,3,28.1,28.0,28.0,0.00,1.0,2018.0
28,1,66,53.8,41,23,18.3,14,42,25.8,14,6,2.3,0,28.2,28.1,28.1,0.00,2.0,2018.0
29,2,68,55.1,41,25,19.4,16,42,26.1,14,13,5.3,0,28.2,28.1,28.1,0.00,2.0,2018.0
30,3,66,53.6,43,25,17.9,10,43,27.0,12,15,7.2,0,28.2,28.1,28.1,0.00,2.0,2018.0
31,4,70,54.9,39,19,13.5,9,36,21.3,11,10,4.9,0,28.2,28.1,28.1,0.00,2.0,2018.0
32,5,77,58.6,43,16,11.6,9,31,17.1,8,5,1.3,0,28.1,28.1,28.1,0.00,2.0,2018.0
33,6,81,62.0,46,16,10.4,7,23,14.2,7,3,1.2,0,28.1,28.1,28.0,0.00,2.0,2018.0
34,7,84,65.8,50,18,13.3,10,24,14.2,7,7,1.9,0,28.1,28.0,27.9,0.00,2.0,2018.0
35,8,81,64.4,46,18,10.1,7,32,13.3,6,6,2.6,0,28.0,27.9,27.9,0.00,2.0,2018.0
36,9,77,63.0,48,19,15.2,9,30,16.3,11,6,2.6,0,28.0,27.9,27.9,0.00,2.0,2018.0
37,10,82,65.7,48,21,16.0,12,30,15.8,8,5,1.5,0,27.9,27.9,27.8,0.00,2.0,2018.0
38,11,90,72.5,54,27,21.3,16,26,15.5,9,7,2.5,0,27.9,27.9,27.8,0.00,2.0,2018.0
39,12,91,76.4,59,27,21.7,19,27,14.4,8,14,6.7,2,27.9,27.9,27.8,0.00,2.0,2018.0
40,2,2018,,,,,,,,,,,,,,,,,
41,14,79,68.8,63,43,34.2,18,45,29.6,10,22,10.8,3,28.1,28.0,27.8,0.00,2.0,2018.0
42,15,81,67.3,55,45,36.4,30,46,33.2,21,10,4.9,0,28.1,28.1,28.0,0.00,2.0,2018.0
43,16,84,71.3,57,52,43.9,36,72,40.8,19,18,8.8,3,28.1,28.0,27.9,0.00,2.0,2018.0
44,17,86,75.1,66,39,35.3,32,32,24.0,14,20,9.3,3,28.0,27.9,27.8,0.00,2.0,2018.0
45,18,77,72.0,61,54,34.5,19,47,26.4,18,18,9.9,0,27.9,27.8,27.8,0.00,2.0,2018.0
46,19,77,63.4,50,25,22.7,19,35,22.5,12,9,5.3,0,27.9,27.9,27.9,0.00,2.0,2018.0
47,20,72,62.4,52,30,27.8,25,38,27.9,19,8,3.2,0,28.0,27.9,27.9,0.00,2.0,2018.0
48,21,79,68.3,57,34,30.2,27,33,24.7,17,12,7.2,3,27.9,27.8,27.8,0.00,2.0,2018.0
49,22,81,71.8,63,48,37.8,34,59,30.3,20,14,7.0,2,27.8,27.8,27.8,0.00,2.0,2018.0
50,23,81,69.7,59,41,37.5,36,45,31.5,21,6,2.4,0,27.8,27.8,27.7,0.00,2.0,2018.0
51,24,73,65.5,61,59,51.0,39,88,62.8,35,25,10.1,3,27.8,27.8,27.7,0.00,2.0,2018.0
52,25,75,65.4,57,57,51.7,43,88,64.1,31,12,5.4,0,27.9,27.8,27.7,0.00,2.0,2018.0
53,26,73,65.5,55,57,53.3,48,88,66.2,50,13,6.9,0,27.9,27.9,27.8,0.00,2.0,2018.0
54,27,82,72.4,64,57,52.3,48,68,50.6,32,15,9.1,5,27.9,27.8,27.7,0.00,2.0,2018.0
